sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
8439,F,23,R,3,2,services,services,yes,no,yes,no,91,State,86,Private,Arts,83,Sci&Tech,No,51,Mkt&HR,55,Placed,350000
8440,F,22,U,2,1,other,health,no,no,no,no,50,State,50,Private,Arts,52,Sci&Tech,No,57,Mkt&Fin,83,Not Placed,
8441,F,20,U,1,3,services,services,no,no,no,no,85,Central,87,Private,Science,73,Comm&Mgmt,Yes,72,Mkt&Fin,84,Not Placed,
8442,F,20,U,2,1,other,teacher,yes,no,no,yes,81,Central,67,Private,Arts,56,Sci&Tech,No,68,Mkt&HR,65,Not Placed,
8443,F,23,U,2,1,teacher,health,yes,no,yes,yes,62,State,58,State,Commerce,64,Sci&Tech,Yes,51,Mkt&Fin,74,Placed,300000
8444,F,18,R,4,3,other,other,no,no,no,no,67,Private,54,Central,Science,85,Sci&Tech,No,67,Mkt&Fin,75,Not Placed,
8445,M,19,U,1,2,health,teacher,no,yes,yes,no,88,State,76,Central,Commerce,72,Sci&Tech,Yes,81,Mkt&HR,67,Placed,300000
8446,F,19,U,2,1,services,teacher,yes,no,no,no,54,State,81,Private,Commerce,91,Comm&Mgmt,Yes,90,Mkt&HR,69,Placed,400000
8447,M,19,U,4,1,services,teacher,no,no,no,yes,89,Central,70,State,Science,87,Comm&Mgmt,Yes,60,Mkt&HR,75,Placed,250000
8448,F,22,R,3,4,at_home,at_home,no,no,yes,no,51,Central,76,State,Arts,94,Comm&Mgmt,Yes,83,Mkt&Fin,56,Placed,350000
8449,M,22,U,2,3,at_home,health,no,yes,no,no,71,Central,87,Private,Commerce,65,Sci&Tech,Yes,93,Mkt&Fin,80,Placed,400000
8450,F,22,U,2,3,teacher,other,yes,no,no,yes,70,Central,52,Central,Science,91,Comm&Mgmt,No,92,Mkt&Fin,72,Placed,200000
8451,F,20,R,1,1,other,health,yes,no,yes,yes,70,State,89,Private,Commerce,59,Comm&Mgmt,No,69,Mkt&Fin,59,Placed,350000
8452,M,20,R,3,1,services,teacher,yes,yes,yes,no,59,State,60,State,Science,94,Comm&Mgmt,No,54,Mkt&Fin,92,Placed,350000
8453,F,19,R,4,4,services,teacher,yes,no,no,no,85,Private,62,Private,Science,64,Sci&Tech,Yes,63,Mkt&HR,87,Not Placed,
8454,F,19,U,1,1,teacher,at_home,yes,yes,yes,no,61,State,95,Private,Commerce,64,Sci&Tech,No,52,Mkt&Fin,63,Not Placed,
8455,F,21,R,2,4,services,health,no,yes,yes,no,73,State,57,Central,Science,59,Comm&Mgmt,Yes,51,Mkt&HR,78,Placed,400000
8456,M,21,U,3,2,other,at_home,no,yes,no,yes,50,Central,60,Central,Arts,50,Sci&Tech,No,52,Mkt&HR,69,Placed,250000
8457,M,18,U,3,1,services,other,yes,no,no,yes,54,Central,56,Private,Arts,86,Sci&Tech,No,73,Mkt&Fin,91,Not Placed,
8458,M,20,U,2,1,health,other,yes,yes,yes,no,85,State,76,Private,Commerce,85,Comm&Mgmt,Yes,90,Mkt&HR,80,Not Placed,
8459,M,21,U,2,1,teacher,other,no,yes,no,no,65,State,85,Private,Commerce,91,Comm&Mgmt,Yes,95,Mkt&Fin,68,Placed,250000
8460,M,19,R,1,2,other,services,yes,yes,no,no,90,State,50,Private,Science,51,Sci&Tech,Yes,65,Mkt&Fin,60,Placed,250000
8461,F,20,U,4,4,health,other,no,no,no,no,94,Central,65,State,Commerce,69,Sci&Tech,Yes,70,Mkt&HR,56,Not Placed,
8462,M,20,R,3,3,at_home,health,yes,no,no,yes,60,State,55,Private,Arts,61,Comm&Mgmt,Yes,66,Mkt&HR,72,Not Placed,
8463,F,19,U,4,2,other,health,no,yes,no,no,63,Private,78,Central,Science,84,Comm&Mgmt,No,82,Mkt&Fin,76,Not Placed,
8464,M,19,R,1,1,services,services,yes,yes,yes,no,78,Central,88,Private,Science,91,Comm&Mgmt,No,88,Mkt&HR,67,Placed,400000
8465,F,18,U,3,1,other,at_home,no,yes,yes,no,90,State,58,State,Science,82,Comm&Mgmt,No,59,Mkt&HR,53,Placed,350000
8466,M,19,U,3,1,teacher,teacher,yes,yes,no,yes,88,Central,58,Central,Commerce,57,Sci&Tech,No,58,Mkt&Fin,84,Placed,500000
8467,M,20,R,2,3,other,other,yes,yes,yes,no,90,State,56,State,Science,76,Comm&Mgmt,Yes,91,Mkt&Fin,90,Not Placed,
8468,M,22,R,4,2,health,other,no,no,no,yes,76,State,73,Central,Arts,73,Comm&Mgmt,Yes,66,Mkt&HR,61,Placed,350000
8469,F,18,R,2,2,at_home,at_home,no,yes,no,yes,94,Central,52,Central,Commerce,59,Sci&Tech,Yes,80,Mkt&HR,80,Placed,200000
8470,F,22,R,4,4,services,teacher,yes,no,no,yes,51,Private,62,Central,Science,95,Comm&Mgmt,No,69,Mkt&Fin,81,Not Placed,
8471,F,18,U,3,2,other,services,no,no,no,no,72,State,95,Central,Commerce,59,Comm&Mgmt,No,80,Mkt&Fin,95,Not Placed,
8472,F,22,R,2,2,at_home,services,no,yes,no,no,78,Private,55,State,Arts,66,Comm&Mgmt,Yes,79,Mkt&Fin,95,Not Placed,
8473,F,20,U,3,3,services,services,no,no,yes,no,76,Private,67,Private,Arts,78,Sci&Tech,Yes,83,Mkt&Fin,59,Placed,200000
8474,F,20,U,2,4,other,services,yes,no,yes,yes,91,Private,89,Central,Arts,65,Sci&Tech,No,67,Mkt&Fin,56,Not Placed,
8475,F,20,U,3,4,health,services,no,yes,yes,no,57,Central,61,Central,Science,80,Comm&Mgmt,Yes,93,Mkt&Fin,94,Not Placed,
8476,M,21,U,1,3,at_home,services,no,no,no,yes,65,State,55,Central,Science,82,Comm&Mgmt,Yes,56,Mkt&Fin,57,Placed,300000
8477,F,18,U,1,4,other,teacher,no,yes,no,no,91,State,71,Central,Science,84,Comm&Mgmt,Yes,53,Mkt&HR,66,Not Placed,
8478,F,18,U,1,4,health,other,no,yes,no,no,72,Private,52,Private,Science,65,Sci&Tech,Yes,71,Mkt&HR,57,Not Placed,
8479,F,21,U,4,4,health,services,yes,yes,no,no,55,State,55,Central,Science,66,Comm&Mgmt,Yes,73,Mkt&Fin,72,Placed,400000
8480,M,23,R,4,2,at_home,services,no,no,no,yes,93,Private,65,Central,Commerce,51,Comm&Mgmt,Yes,50,Mkt&Fin,73,Not Placed,
8481,M,21,U,4,1,at_home,health,no,yes,no,no,88,Private,68,Private,Commerce,85,Comm&Mgmt,Yes,72,Mkt&Fin,77,Placed,250000
8482,F,20,U,2,4,services,health,yes,yes,yes,yes,62,Private,72,Central,Commerce,80,Sci&Tech,No,76,Mkt&Fin,83,Placed,350000
8483,F,19,U,2,1,at_home,other,yes,yes,yes,yes,57,State,90,State,Science,52,Comm&Mgmt,No,82,Mkt&Fin,86,Not Placed,
8484,M,22,R,4,4,at_home,at_home,no,no,no,yes,64,State,76,Private,Commerce,53,Sci&Tech,No,82,Mkt&Fin,87,Not Placed,
8485,F,21,R,2,3,services,services,no,no,no,no,81,Central,85,Private,Science,66,Comm&Mgmt,No,85,Mkt&HR,52,Not Placed,
8486,F,19,U,3,4,other,teacher,no,no,yes,yes,80,Central,89,Central,Commerce,94,Sci&Tech,Yes,86,Mkt&Fin,80,Placed,250000
8487,M,21,U,4,4,teacher,other,no,no,yes,no,87,State,83,State,Commerce,79,Sci&Tech,No,93,Mkt&HR,88,Placed,300000
8488,M,21,R,1,1,teacher,teacher,yes,yes,yes,yes,91,State,69,State,Arts,72,Sci&Tech,Yes,83,Mkt&HR,75,Placed,200000
8489,M,23,U,2,1,services,teacher,yes,yes,yes,yes,59,State,95,State,Science,69,Comm&Mgmt,Yes,74,Mkt&Fin,86,Placed,350000
8490,M,21,U,4,1,teacher,health,yes,yes,yes,yes,66,Private,53,State,Science,85,Comm&Mgmt,No,73,Mkt&Fin,63,Not Placed,
8491,F,21,U,2,2,health,health,yes,no,no,no,80,Private,73,Private,Commerce,57,Comm&Mgmt,Yes,88,Mkt&Fin,94,Not Placed,
8492,F,18,U,2,2,services,teacher,no,no,no,no,71,Central,86,Private,Arts,81,Sci&Tech,No,61,Mkt&HR,59,Placed,350000
8493,F,23,R,2,4,other,health,yes,yes,yes,no,77,Private,67,Private,Commerce,70,Comm&Mgmt,No,79,Mkt&HR,51,Placed,400000
8494,M,23,R,1,4,health,teacher,no,yes,yes,no,88,Central,83,Central,Science,65,Comm&Mgmt,Yes,83,Mkt&HR,54,Not Placed,
8495,M,19,R,1,3,health,health,no,yes,no,yes,57,Central,78,Private,Commerce,63,Comm&Mgmt,Yes,57,Mkt&Fin,91,Placed,200000
8496,F,22,U,2,1,teacher,at_home,no,yes,no,yes,65,Private,90,Central,Science,64,Sci&Tech,Yes,79,Mkt&HR,89,Not Placed,
8497,F,22,R,4,3,other,services,no,no,yes,yes,65,Central,56,Central,Commerce,82,Sci&Tech,Yes,82,Mkt&HR,58,Not Placed,
8498,F,19,U,3,4,health,at_home,no,yes,yes,yes,54,Central,87,State,Commerce,77,Comm&Mgmt,No,55,Mkt&HR,54,Placed,300000
8499,F,21,U,1,1,health,services,yes,no,no,no,52,Central,64,Private,Arts,76,Comm&Mgmt,Yes,63,Mkt&HR,93,Placed,400000
8500,F,19,R,4,2,teacher,other,no,no,yes,no,91,State,90,State,Arts,89,Comm&Mgmt,No,73,Mkt&Fin,78,Not Placed,
8501,M,22,U,2,2,services,teacher,yes,no,no,no,87,Private,53,State,Commerce,58,Comm&Mgmt,Yes,57,Mkt&Fin,80,Placed,300000
8502,F,19,U,3,4,at_home,health,yes,no,yes,yes,78,Private,91,State,Arts,90,Sci&Tech,Yes,65,Mkt&HR,78,Not Placed,
8503,M,22,U,3,3,at_home,at_home,no,yes,no,yes,90,Central,95,Central,Arts,87,Sci&Tech,No,83,Mkt&HR,71,Placed,200000
8504,M,22,U,4,4,services,at_home,no,no,no,no,70,Private,54,Central,Science,73,Sci&Tech,No,92,Mkt&Fin,64,Not Placed,
8505,F,22,R,1,3,at_home,services,yes,yes,no,no,66,Private,95,State,Arts,70,Sci&Tech,Yes,72,Mkt&Fin,83,Placed,350000
8506,M,19,U,4,1,health,teacher,yes,no,no,yes,57,Central,83,Central,Commerce,53,Comm&Mgmt,No,68,Mkt&Fin,92,Placed,350000
8507,M,21,R,1,2,teacher,health,yes,no,yes,yes,92,Private,61,Private,Arts,64,Comm&Mgmt,Yes,65,Mkt&Fin,79,Not Placed,
8508,F,21,R,2,3,services,health,no,no,no,no,71,Central,65,Central,Science,83,Comm&Mgmt,Yes,53,Mkt&HR,68,Placed,500000
8509,F,19,U,3,2,teacher,other,no,no,yes,yes,71,State,93,Central,Commerce,64,Sci&Tech,Yes,79,Mkt&Fin,71,Placed,400000
8510,F,19,R,4,3,health,at_home,no,yes,yes,no,74,State,77,State,Science,81,Sci&Tech,Yes,58,Mkt&Fin,89,Placed,350000
8511,F,18,R,2,1,at_home,health,no,yes,no,yes,82,State,50,Private,Arts,70,Sci&Tech,No,79,Mkt&Fin,53,Placed,200000
8512,F,20,U,3,4,teacher,health,no,no,yes,yes,79,Central,66,State,Science,63,Sci&Tech,No,83,Mkt&HR,69,Placed,400000
8513,M,21,R,2,3,health,at_home,no,no,no,yes,60,State,57,State,Commerce,85,Comm&Mgmt,Yes,84,Mkt&HR,84,Placed,350000
8514,F,23,R,1,3,at_home,other,no,yes,yes,no,57,State,61,Central,Science,83,Comm&Mgmt,No,51,Mkt&Fin,78,Not Placed,
8515,F,23,U,1,3,at_home,other,no,no,yes,no,69,Central,83,Private,Commerce,89,Comm&Mgmt,No,65,Mkt&HR,70,Placed,200000
8516,F,19,U,4,4,other,at_home,no,no,yes,no,89,State,66,Private,Science,85,Sci&Tech,No,85,Mkt&Fin,72,Not Placed,
8517,M,19,U,1,2,teacher,services,no,no,no,no,90,State,84,State,Commerce,56,Sci&Tech,No,64,Mkt&Fin,63,Not Placed,
8518,F,21,U,1,4,at_home,services,no,yes,no,yes,78,State,53,Private,Commerce,68,Comm&Mgmt,No,61,Mkt&HR,80,Not Placed,
8519,F,22,R,3,1,other,other,yes,yes,no,no,59,State,94,State,Arts,67,Sci&Tech,Yes,80,Mkt&Fin,67,Placed,200000
8520,M,19,U,2,2,health,teacher,yes,yes,no,yes,56,Central,68,Private,Commerce,79,Sci&Tech,Yes,62,Mkt&HR,75,Placed,250000
8521,M,20,U,1,3,other,teacher,no,no,no,yes,51,Private,90,Central,Arts,63,Sci&Tech,No,76,Mkt&HR,71,Placed,400000
8522,F,23,R,4,4,other,at_home,no,no,no,yes,94,Central,56,Central,Science,86,Comm&Mgmt,No,60,Mkt&HR,55,Placed,400000
8523,F,21,R,4,4,other,teacher,no,yes,no,yes,93,Central,60,Central,Science,94,Comm&Mgmt,Yes,50,Mkt&HR,79,Placed,350000
8524,F,23,R,4,2,teacher,services,yes,yes,yes,no,55,State,53,State,Science,71,Comm&Mgmt,Yes,62,Mkt&Fin,81,Placed,400000
8525,M,20,U,4,4,health,other,yes,no,yes,no,93,Private,58,Central,Arts,80,Sci&Tech,Yes,69,Mkt&HR,52,Placed,200000
8526,F,18,U,4,1,services,teacher,no,yes,yes,yes,90,Private,59,State,Commerce,82,Comm&Mgmt,Yes,62,Mkt&HR,50,Placed,300000
8527,F,18,U,2,3,other,services,no,yes,no,no,79,Central,54,State,Commerce,76,Comm&Mgmt,No,68,Mkt&Fin,83,Placed,350000
8528,M,23,R,2,1,services,services,no,yes,no,yes,86,State,80,Private,Science,70,Comm&Mgmt,Yes,74,Mkt&HR,75,Not Placed,
8529,M,18,U,1,2,other,services,no,no,no,yes,69,State,94,Central,Commerce,82,Sci&Tech,No,81,Mkt&Fin,56,Placed,200000
8530,M,23,U,1,4,health,services,yes,no,yes,yes,74,Private,71,Central,Commerce,74,Comm&Mgmt,Yes,55,Mkt&Fin,62,Not Placed,
8531,F,23,R,1,1,teacher,other,no,yes,no,no,79,Central,74,Private,Science,71,Sci&Tech,Yes,84,Mkt&Fin,76,Placed,250000
8532,F,23,U,4,2,health,health,no,no,yes,yes,68,Private,55,State,Science,81,Sci&Tech,Yes,78,Mkt&HR,66,Not Placed,
8533,M,19,R,2,1,teacher,services,no,no,yes,yes,59,State,82,Central,Science,64,Comm&Mgmt,Yes,71,Mkt&HR,56,Placed,400000
8534,M,18,R,4,2,services,health,no,yes,yes,no,54,Central,65,Central,Science,93,Comm&Mgmt,No,61,Mkt&HR,56,Placed,300000
8535,F,20,U,3,2,teacher,health,no,yes,no,yes,81,Private,90,Private,Science,58,Comm&Mgmt,Yes,52,Mkt&Fin,91,Placed,300000
8536,M,18,U,2,4,other,health,no,yes,no,yes,90,Central,58,Private,Science,56,Comm&Mgmt,No,91,Mkt&HR,82,Not Placed,
8537,F,23,U,1,4,at_home,health,yes,no,yes,no,51,Private,66,Central,Arts,74,Sci&Tech,No,54,Mkt&Fin,54,Not Placed,
8538,F,21,U,2,1,other,at_home,no,yes,no,yes,84,Private,53,Central,Commerce,91,Sci&Tech,No,54,Mkt&Fin,62,Placed,500000
8539,F,19,U,4,1,teacher,at_home,yes,yes,yes,yes,54,Central,54,State,Science,61,Sci&Tech,Yes,65,Mkt&Fin,50,Not Placed,
8540,F,23,U,3,4,at_home,health,no,yes,yes,yes,60,State,50,Private,Arts,52,Comm&Mgmt,Yes,80,Mkt&Fin,56,Placed,300000
8541,M,21,U,4,1,other,teacher,no,no,no,no,50,State,76,Central,Arts,62,Comm&Mgmt,No,90,Mkt&HR,58,Not Placed,
8542,M,18,R,4,1,teacher,health,yes,yes,no,no,93,Private,52,Central,Commerce,95,Sci&Tech,No,52,Mkt&HR,73,Placed,400000
8543,F,21,U,1,1,services,teacher,yes,no,yes,yes,65,State,56,State,Arts,73,Comm&Mgmt,No,69,Mkt&HR,68,Placed,400000
8544,M,23,R,2,4,other,teacher,no,no,yes,no,88,Private,51,Private,Commerce,63,Comm&Mgmt,Yes,94,Mkt&HR,62,Placed,500000
8545,F,20,R,2,1,at_home,other,no,no,yes,no,60,Private,61,Private,Science,92,Sci&Tech,No,67,Mkt&HR,89,Not Placed,
8546,M,19,R,4,3,at_home,at_home,no,yes,yes,no,93,Central,73,Private,Commerce,59,Comm&Mgmt,No,53,Mkt&Fin,50,Placed,350000
8547,F,21,R,2,4,teacher,teacher,no,yes,no,no,62,Private,76,Central,Arts,76,Sci&Tech,Yes,51,Mkt&Fin,56,Placed,350000
8548,M,21,R,4,4,services,at_home,yes,yes,yes,yes,76,Private,75,Central,Commerce,66,Sci&Tech,No,55,Mkt&Fin,67,Not Placed,
8549,F,21,R,2,2,other,at_home,no,yes,yes,no,60,State,56,Private,Arts,54,Sci&Tech,Yes,90,Mkt&Fin,63,Placed,400000
8550,M,22,R,3,2,services,teacher,yes,yes,no,no,56,Central,83,Central,Commerce,77,Comm&Mgmt,Yes,51,Mkt&HR,81,Placed,450000
8551,F,20,U,2,3,services,services,yes,no,no,no,62,Central,95,Central,Science,83,Comm&Mgmt,No,54,Mkt&HR,83,Placed,250000
8552,F,19,U,2,3,at_home,teacher,no,no,yes,no,75,State,54,Central,Commerce,56,Sci&Tech,No,59,Mkt&Fin,77,Placed,300000
8553,F,21,U,1,2,at_home,teacher,yes,yes,yes,yes,80,Private,86,Private,Science,67,Comm&Mgmt,No,82,Mkt&HR,74,Placed,350000
8554,F,19,U,3,2,services,teacher,no,yes,no,no,55,Central,53,Private,Science,85,Comm&Mgmt,No,80,Mkt&HR,52,Placed,400000
8555,F,20,R,3,1,at_home,services,no,no,yes,no,66,Private,74,State,Science,80,Comm&Mgmt,Yes,93,Mkt&HR,62,Not Placed,
8556,M,23,U,3,3,services,other,no,yes,no,no,52,State,85,Private,Science,70,Comm&Mgmt,Yes,53,Mkt&Fin,89,Not Placed,
8557,F,23,R,3,1,services,services,no,yes,yes,yes,56,Central,71,Private,Commerce,85,Sci&Tech,Yes,59,Mkt&Fin,95,Placed,200000
8558,F,19,U,4,4,other,services,no,no,yes,yes,89,Private,65,Private,Commerce,60,Sci&Tech,Yes,93,Mkt&HR,60,Not Placed,
8559,F,23,R,1,3,health,services,yes,no,no,no,66,State,50,State,Science,50,Sci&Tech,No,89,Mkt&Fin,71,Not Placed,
8560,M,21,R,1,4,teacher,other,no,yes,no,no,66,Central,71,State,Arts,70,Comm&Mgmt,Yes,86,Mkt&Fin,92,Not Placed,
8561,M,18,R,1,1,services,other,yes,yes,no,yes,50,Private,70,Central,Commerce,62,Comm&Mgmt,No,85,Mkt&Fin,65,Placed,200000
8562,F,21,R,4,2,services,health,no,yes,no,yes,50,Private,90,State,Commerce,90,Comm&Mgmt,Yes,55,Mkt&HR,57,Not Placed,
8563,M,22,R,2,1,health,health,yes,yes,yes,yes,59,Central,91,Private,Commerce,70,Comm&Mgmt,No,77,Mkt&HR,71,Placed,250000
8564,F,20,U,1,4,other,teacher,no,yes,no,yes,57,Private,70,Central,Science,93,Comm&Mgmt,Yes,75,Mkt&Fin,67,Not Placed,
8565,F,21,R,4,3,health,health,no,no,no,no,51,Private,85,State,Arts,57,Comm&Mgmt,No,54,Mkt&HR,90,Placed,400000
8566,M,18,R,3,1,teacher,health,yes,no,no,yes,72,Private,52,Central,Commerce,73,Sci&Tech,Yes,84,Mkt&HR,65,Placed,400000
8567,M,20,R,2,2,services,services,yes,no,no,no,59,Private,84,Private,Commerce,74,Comm&Mgmt,Yes,86,Mkt&Fin,86,Placed,300000
8568,M,22,R,3,1,at_home,health,yes,no,no,yes,77,State,67,State,Arts,93,Sci&Tech,Yes,89,Mkt&HR,87,Placed,255000
8569,M,20,R,2,1,other,health,no,no,no,yes,90,State,52,State,Arts,84,Sci&Tech,No,60,Mkt&Fin,61,Not Placed,
8570,F,19,R,3,4,other,health,yes,no,yes,yes,74,State,90,State,Science,85,Comm&Mgmt,Yes,72,Mkt&Fin,87,Placed,300000
8571,M,19,U,2,2,at_home,services,no,no,no,no,53,State,88,State,Arts,95,Sci&Tech,Yes,63,Mkt&Fin,78,Placed,250000
8572,F,23,R,3,1,teacher,at_home,yes,no,no,yes,65,State,56,Private,Commerce,92,Comm&Mgmt,Yes,93,Mkt&HR,76,Not Placed,
8573,F,20,U,1,1,health,other,yes,yes,yes,yes,84,Central,88,Private,Arts,63,Sci&Tech,Yes,67,Mkt&HR,61,Placed,250000
8574,F,20,R,2,4,services,services,no,yes,yes,no,91,State,66,Central,Arts,73,Sci&Tech,No,95,Mkt&Fin,81,Not Placed,
8575,F,20,R,1,4,other,teacher,yes,no,no,yes,52,State,63,State,Science,83,Sci&Tech,Yes,76,Mkt&Fin,50,Placed,200000
8576,M,18,U,4,3,services,teacher,no,yes,no,yes,62,Central,50,State,Arts,57,Comm&Mgmt,No,54,Mkt&Fin,56,Not Placed,
8577,M,21,R,2,2,teacher,health,yes,yes,yes,yes,73,Private,65,Central,Arts,64,Sci&Tech,No,72,Mkt&Fin,86,Not Placed,
8578,F,21,U,4,1,services,at_home,no,no,no,no,58,Central,71,State,Science,89,Comm&Mgmt,Yes,63,Mkt&Fin,78,Not Placed,
8579,M,21,R,2,1,other,other,no,no,no,yes,51,State,65,Central,Commerce,94,Comm&Mgmt,No,74,Mkt&HR,85,Not Placed,
8580,M,19,U,1,2,services,other,no,yes,yes,yes,68,Central,87,Private,Science,58,Comm&Mgmt,No,76,Mkt&HR,57,Placed,400000
8581,M,20,R,4,2,teacher,teacher,yes,yes,yes,yes,80,Central,68,Central,Arts,68,Comm&Mgmt,Yes,52,Mkt&HR,51,Placed,300000
8582,F,22,U,2,2,health,other,no,no,yes,no,83,Private,78,Private,Arts,87,Sci&Tech,Yes,70,Mkt&Fin,68,Placed,200000
8583,F,20,U,1,3,other,teacher,no,yes,no,yes,76,State,82,Private,Commerce,75,Comm&Mgmt,Yes,83,Mkt&HR,82,Not Placed,
8584,M,23,U,2,4,other,health,no,yes,yes,yes,64,Central,56,State,Commerce,56,Comm&Mgmt,Yes,88,Mkt&HR,83,Not Placed,
8585,F,21,R,1,2,services,health,no,no,no,no,94,State,87,Central,Science,68,Sci&Tech,No,67,Mkt&Fin,77,Placed,400000
8586,F,18,U,2,1,services,health,yes,no,yes,no,55,Central,79,Central,Science,95,Comm&Mgmt,Yes,92,Mkt&HR,83,Not Placed,
8587,M,22,R,2,3,teacher,health,no,yes,no,yes,94,Private,86,Central,Arts,95,Comm&Mgmt,Yes,71,Mkt&Fin,69,Placed,200000
8588,M,18,R,1,3,services,health,no,no,no,no,64,Private,50,State,Commerce,76,Comm&Mgmt,No,56,Mkt&HR,68,Placed,300000
8589,F,21,U,3,3,health,health,yes,yes,no,no,50,Central,87,State,Arts,73,Sci&Tech,No,53,Mkt&HR,60,Not Placed,
8590,M,23,U,3,4,at_home,other,yes,no,yes,yes,93,Central,64,State,Commerce,54,Sci&Tech,No,56,Mkt&HR,67,Placed,200000
8591,M,19,U,3,2,health,other,no,yes,no,yes,53,Private,52,Private,Commerce,70,Comm&Mgmt,No,86,Mkt&Fin,78,Not Placed,
8592,F,20,U,2,4,services,teacher,yes,yes,no,no,53,Central,78,State,Science,83,Sci&Tech,No,57,Mkt&HR,92,Not Placed,
8593,F,21,R,2,3,teacher,services,yes,no,yes,yes,86,State,60,Private,Science,77,Sci&Tech,Yes,80,Mkt&HR,82,Not Placed,
8594,M,19,R,2,4,at_home,teacher,yes,yes,yes,no,76,Private,94,Central,Arts,90,Sci&Tech,Yes,65,Mkt&Fin,69,Not Placed,
8595,M,18,U,3,1,health,at_home,yes,yes,no,no,87,Private,59,Private,Arts,93,Comm&Mgmt,Yes,86,Mkt&HR,66,Placed,300000
8596,M,21,U,4,4,other,other,no,yes,yes,no,76,State,79,State,Arts,91,Sci&Tech,Yes,79,Mkt&HR,73,Placed,250000
8597,M,23,R,4,1,services,at_home,yes,no,no,yes,80,Private,73,State,Science,62,Comm&Mgmt,No,51,Mkt&Fin,71,Not Placed,
8598,F,22,U,1,1,teacher,teacher,no,yes,no,yes,59,Private,82,State,Arts,52,Sci&Tech,Yes,54,Mkt&Fin,53,Not Placed,
8599,M,23,R,2,4,teacher,services,no,yes,no,yes,67,State,80,Central,Arts,70,Comm&Mgmt,No,54,Mkt&HR,56,Not Placed,
8600,F,23,U,3,1,at_home,at_home,yes,no,no,yes,69,Central,87,Private,Science,62,Comm&Mgmt,No,90,Mkt&HR,74,Placed,400000
8601,M,22,R,1,3,at_home,health,no,no,no,yes,74,State,59,State,Arts,81,Comm&Mgmt,No,91,Mkt&Fin,53,Placed,350000
8602,F,20,R,3,1,at_home,at_home,no,yes,no,no,75,Central,82,Private,Commerce,55,Sci&Tech,Yes,91,Mkt&HR,58,Placed,300000
8603,M,18,U,3,2,health,health,no,no,no,no,72,Private,86,State,Arts,67,Sci&Tech,Yes,91,Mkt&Fin,68,Not Placed,
8604,F,23,R,1,1,at_home,at_home,yes,no,yes,no,79,Private,85,Private,Commerce,83,Sci&Tech,Yes,84,Mkt&Fin,68,Not Placed,
8605,M,19,U,3,2,teacher,other,yes,no,yes,no,71,Central,93,Central,Science,90,Sci&Tech,Yes,53,Mkt&Fin,89,Placed,400000
8606,M,18,U,2,3,teacher,health,no,no,yes,yes,89,State,91,Private,Commerce,58,Sci&Tech,Yes,69,Mkt&Fin,89,Placed,200000
8607,F,19,U,1,2,services,health,yes,no,yes,no,72,Private,85,State,Science,67,Sci&Tech,Yes,54,Mkt&Fin,57,Placed,300000
8608,F,23,R,1,4,at_home,at_home,yes,yes,no,yes,56,State,82,Private,Arts,85,Comm&Mgmt,No,67,Mkt&HR,62,Placed,350000
8609,F,22,U,2,1,other,at_home,no,no,yes,yes,74,Central,54,State,Science,76,Sci&Tech,Yes,79,Mkt&Fin,86,Placed,200000
8610,M,20,U,3,1,at_home,at_home,no,no,yes,yes,90,Private,82,Private,Commerce,84,Sci&Tech,Yes,73,Mkt&HR,66,Not Placed,
8611,M,18,R,1,4,services,at_home,no,no,yes,no,50,Central,79,Central,Commerce,83,Comm&Mgmt,Yes,73,Mkt&HR,70,Placed,250000
8612,M,21,R,3,4,other,services,yes,yes,no,no,63,Private,86,Private,Arts,73,Comm&Mgmt,Yes,95,Mkt&Fin,58,Placed,400000
8613,F,23,R,4,4,teacher,other,no,yes,no,no,66,Private,61,Central,Commerce,64,Sci&Tech,No,50,Mkt&Fin,54,Not Placed,
8614,F,21,U,3,1,other,at_home,yes,yes,no,yes,64,Private,55,Central,Science,54,Sci&Tech,No,77,Mkt&Fin,86,Not Placed,
8615,M,19,R,2,3,health,services,yes,yes,no,no,67,Central,57,Private,Science,57,Comm&Mgmt,Yes,78,Mkt&HR,89,Not Placed,
8616,M,18,U,1,1,teacher,services,no,yes,yes,no,70,Private,95,Central,Science,51,Sci&Tech,Yes,63,Mkt&Fin,81,Placed,500000
8617,M,20,U,4,1,health,at_home,yes,no,yes,no,50,Central,59,Central,Arts,62,Comm&Mgmt,Yes,57,Mkt&HR,88,Placed,300000
8618,M,22,U,1,1,other,services,yes,no,yes,no,90,State,55,Central,Commerce,76,Comm&Mgmt,Yes,81,Mkt&Fin,57,Not Placed,
8619,M,18,U,3,1,teacher,services,no,yes,no,yes,59,Central,88,State,Arts,93,Comm&Mgmt,Yes,76,Mkt&HR,67,Placed,300000
8620,F,21,R,1,2,teacher,health,no,yes,no,no,78,State,61,Private,Arts,71,Comm&Mgmt,Yes,62,Mkt&HR,89,Not Placed,
8621,M,20,U,3,2,at_home,other,yes,no,yes,no,79,State,59,Private,Arts,85,Sci&Tech,Yes,68,Mkt&HR,50,Not Placed,
8622,M,18,U,1,1,teacher,health,yes,yes,no,no,55,Central,71,Central,Commerce,80,Sci&Tech,Yes,72,Mkt&Fin,50,Not Placed,
